"No.","Time","Source","Destination","Protocol","Length","Info"
"104","1.261684697","192.168.100.10","192.168.100.13","TCP","74","8888  >  49928 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2451794718 TSecr=1725358608 WS=512"
"105","1.261861935","192.168.100.11","192.168.100.10","TCP","66","33048  >  7777 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2230216463 TSecr=3054225119"
"106","1.261862139","192.168.100.13","192.168.100.10","TCP","66","49928  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1725358609 TSecr=2451794718"
"107","1.262267766","192.168.100.11","192.168.100.10","TCP","90","33048  >  7777 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=24 TSval=2230216464 TSecr=3054225119"
"108","1.262284612","192.168.100.10","192.168.100.11","TCP","66","7777  >  33048 [ACK] Seq=1 Ack=25 Win=65536 Len=0 TSval=3054225120 TSecr=2230216464"
"109","1.262332970","192.168.100.11","192.168.100.10","TCP","66","33048  >  7777 [FIN, ACK] Seq=25 Ack=1 Win=64256 Len=0 TSval=2230216464 TSecr=3054225119"
"110","1.262514481","192.168.100.10","192.168.100.11","TCP","74","7777  >  33048 [PSH, ACK] Seq=1 Ack=26 Win=65536 Len=8 TSval=3054225120 TSecr=2230216464"
"111","1.262676993","192.168.100.10","192.168.100.11","TCP","66","7777  >  33048 [FIN, ACK] Seq=9 Ack=26 Win=65536 Len=0 TSval=3054225120 TSecr=2230216464"
"112","1.262742701","192.168.100.11","192.168.100.10","TCP","66","33048  >  7777 [ACK] Seq=26 Ack=9 Win=64256 Len=0 TSval=2230216464 TSecr=3054225120"
"113","1.262874528","192.168.100.11","192.168.100.10","TCP","66","33048  >  7777 [ACK] Seq=26 Ack=10 Win=64256 Len=0 TSval=2230216464 TSecr=3054225120"
"114","1.264353172","192.168.100.13","192.168.100.10","TCP","265","49928  >  8888 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=199 TSval=1725358611 TSecr=2451794718"
